title,description,favicon,language,keywords,ogLocaleAlternate,scrapeId,viewport,renderer,author,sourceURL,url,statusCode
达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],eb6af79f-d7ea-40cf-aff9-9629fb97a3c4,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/,https://www.fortunevc.com/,200
公司业务_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],2818e662-4a50-4977-998f-ce4d4425b663,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/invest.html,https://www.fortunevc.com/index/invest.html,200
新闻中心_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],eb31f65d-26b4-4b73-884b-c8ad225ff023,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/news.html,https://www.fortunevc.com/index/news.html,200
管理团队_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],efc21139-e92f-4c5b-926f-56cee444d9a1,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/team.html,https://www.fortunevc.com/index/team.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],a5a35e15-4f6b-49a2-a9b9-0c2d41167c08,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html,https://www.fortunevc.com/index/project.html,200
投资者教育_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],42b335dd-f1ec-409a-9ebd-9fb5b48e061d,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/educate.html,https://www.fortunevc.com/index/educate.html,200
联系我们_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],befd7b45-61f4-466a-b37b-e2255fafe4c5,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/contact.html,https://www.fortunevc.com/index/contact.html,200
走进达晨_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],bdbf081d-048d-41f5-8f2c-2d2e378c1e00,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/about.html,https://www.fortunevc.com/index/about.html,200
公司新闻,公司新闻,https://www.fortunevc.com/favicon.ico,en,公司新闻,[],ea49e1d7-d3f0-4e1c-b2cc-ddf881b17d90,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/newslist/id/2.html,https://www.fortunevc.com/index/newslist/id/2.html,200
媒体报道,媒体报道,https://www.fortunevc.com/favicon.ico,en,媒体报道,[],d611f306-de91-4ce6-afa4-cbf5d369c29c,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/newslist/id/53.html,https://www.fortunevc.com/index/newslist/id/53.html,200
行业动态,行业动态,https://www.fortunevc.com/favicon.ico,en,行业动态,[],a5fc0e3d-650d-43fb-b315-278d03d647e3,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/newslist/id/20.html,https://www.fortunevc.com/index/newslist/id/20.html,200
信息技术,"信息技术
",https://www.fortunevc.com/favicon.ico,en,"信息技术
",[],9ddd1016-de11-4826-8fb8-7c643f47c0ce,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/34.html,https://www.fortunevc.com/index/project/bid/34.html,200
智能制造,智能制造,https://www.fortunevc.com/favicon.ico,en,智能制造,[],91b62d34-e1cf-4e80-acbe-7635d69843ac,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/65.html,https://www.fortunevc.com/index/project/bid/65.html,200
医疗健康,医疗健康,https://www.fortunevc.com/favicon.ico,en,医疗健康,[],23336eba-6dc7-4753-86f0-ab1d6d1d82a2,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/35.html,https://www.fortunevc.com/index/project/bid/35.html,200
军工,"军工
",https://www.fortunevc.com/favicon.ico,en,"军工
",[],edfb2ac5-66fb-4ce2-bb3b-a914dda86d12,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/67.html,https://www.fortunevc.com/index/project/bid/67.html,200
https://www.fortunevc.com/favicon.ico,en,[],d6d4d2c3-b0ff-40cf-bd98-a94d320e4724,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/86.html,https://www.fortunevc.com/index/project/bid/86.html,200
大消费和企业服务,大消费和企业服务,https://www.fortunevc.com/favicon.ico,en,大消费和企业服务,[],9957799a-4906-4a0e-ac79-e62273081806,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project/bid/36.html,https://www.fortunevc.com/index/project/bid/36.html,200
管理团队_齐 慎,https://www.fortunevc.com/favicon.ico,en,[],fab9e366-88cd-4574-9f5d-3a3372d5a97b,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/263.html,https://www.fortunevc.com/index/teaminfo/id/263.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],b5ff53b6-dc1e-4dcc-b871-e7a30b7e4d31,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=2,https://www.fortunevc.com/index/project.html?page=2,200
关于警惕不法分子冒用我公司名义实施诈骗的声明（二）,https://www.fortunevc.com/favicon.ico,en,[],c59b8fad-e762-46fb-811b-a7b53e78ebea,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/3203.html,https://www.fortunevc.com/index/showeducate/id/3203.html,200
达晨及团队获评金投奖年度影响力VC TOP10、清科F40等奖项,https://www.fortunevc.com/favicon.ico,en,[],261509e3-6774-47bc-a01a-e46e29df3a58,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3716.html,https://www.fortunevc.com/index/shownews/id/3716.html,200
肖 冰,肖 冰,https://www.fortunevc.com/favicon.ico,en,肖 冰,[],b349938f-9ea8-4af6-a99d-49ed6b7fb90a,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/teaminfo/id/981.html,https://www.fortunevc.com/index/teaminfo/id/981.html,200
投资案例_达晨财智创业投资管理有限公司,达晨财智创业投资管理有限公司,https://www.fortunevc.com/favicon.ico,en,达晨财智创业投资管理有限公司，达晨财智,[],eabdb832-8e55-4037-8897-ee119a024fc6,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/project.html?page=3,https://www.fortunevc.com/index/project.html?page=3,200
关于警惕不法分子冒用我司名义实施诈骗的声明！,https://www.fortunevc.com/favicon.ico,en,[],2ea9af77-57dd-4ea8-a72b-244af83b7f15,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/showeducate/id/959.html,https://www.fortunevc.com/index/showeducate/id/959.html,200
从DeepSeek出发，上海交通大学副教授、无问芯穹联合创始人戴国浩解读大模型软硬件协同的前沿与方向 | 达晨Family,https://www.fortunevc.com/favicon.ico,en,[],c61e79d1-8f00-499d-955a-116c6036be67,"width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no",webkit,深圳中网互联|www.30c.cn,https://www.fortunevc.com/index/shownews/id/3719.html,https://www.fortunevc.com/index/shownews/id/3719.html,200
